[Timestamp_micros,aout_speed_uint8,speed_measured_hz]
0,0,0.00
21,0,0.00
42,0,0.00
63,0,0.00
83,0,0.00
104,0,0.00
125,0,0.00
146,0,0.00
167,0,0.00
188,0,0.00
208,0,0.00
229,0,0.00
250,0,0.00
271,0,0.00
292,0,0.00
313,0,0.00
334,0,0.00
354,0,0.00
375,0,0.00
396,0,0.00
417,0,0.00
438,0,0.00
459,0,0.00
479,0,0.00
500,0,0.00
521,0,0.00
542,0,0.00
563,0,0.00
584,0,0.00
605,0,0.00
625,0,0.00
646,0,0.00
667,0,0.00
688,0,0.00
709,0,0.00
730,0,0.00
751,0,0.00
771,0,0.00
792,0,0.00
813,0,0.00
834,0,0.00
855,0,0.00
876,0,0.00
896,0,0.00
917,0,0.00
938,0,0.00
959,0,0.00
980,0,0.00
1001,0,0.00
1022,0,0.00
1042,0,0.00
1063,0,0.00
1084,0,0.00
1105,0,0.00
1126,0,0.00
1147,0,0.00
1168,0,0.00
1189,0,0.00
1210,0,0.00
1231,0,0.00
1252,0,0.00
1272,0,0.00
1293,0,0.00
1314,0,0.00
1335,0,0.00
1356,0,0.00
1377,0,0.00
1398,0,0.00
1419,0,0.00
1440,0,0.00
1460,0,0.00
1481,0,0.00
1502,0,0.00
1523,0,0.00
1544,0,0.00
1565,0,0.00
1586,0,0.00
1607,0,0.00
1628,0,0.00
1649,0,0.00
1670,0,0.00
1690,0,0.00
1711,0,0.00
1732,0,0.00
1753,0,0.00
1774,0,0.00
1795,0,0.00
1816,0,0.00
1837,0,0.00
1858,0,0.00
1878,0,0.00
1899,0,0.00
1920,0,0.00
1941,0,0.00
1962,0,0.00
1983,0,0.00
2004,0,0.00
2025,0,0.00
2046,0,0.00
2067,0,0.00
2087,0,0.00
2108,0,0.00
2129,0,0.00
2150,0,0.00
2171,0,0.00
2192,0,0.00
2213,0,0.00
2234,0,0.00
2255,0,0.00
2276,0,0.00
2297,0,0.00
2317,0,0.00
2338,0,0.00
2359,0,0.00
2380,0,0.00
2401,0,0.00
2422,0,0.00
2443,0,0.00
2464,0,0.00
2485,0,0.00
2506,0,0.00
2527,0,0.00
2547,0,0.00
